WORD,FREQUENCY,TF,ONE_HOT_WORD_IN_DOC,DOC_APPEARANCES,IDF
EXOCRINE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],60,1.3064250275506875
CATIONIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
ANIONIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
IMPROVEMENTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
HYGIENE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
ENABLED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
EPIDEMIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
INFANCY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],17,1.854127356556057
INCREASINGLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
MORBIDITY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
MORTALITY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],20,1.7835462822703498
RATIONAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
INVESTIGATIVE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
METABOLIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],41,1.4717924212145954
ROOTED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
BIOLOGIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
TRUTH,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FULL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
CHROMOSOMES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SOMATIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
CONSEQUENCES,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],12,2.005395031886706
GENE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],60,1.3064250275506875
UNLESS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
PROCESS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],18,1.8293037728310249
DIFFERENTIATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
GENES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
IRREVERSIBLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INACTIVATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
USEFULNESS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
INVESTIGATING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
IDENTIFICATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
PRIMARY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],52,1.3685729342995319
MODEL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],26,1.6696029299635131
SYSTEM,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],64,1.2783963039504438
AGENTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
METACHROMASIA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],17,1.854127356556057
CHARACTERIZATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
ACCOMPLISHED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
HEMATOLOGICALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HEMOGLOBIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
IRON,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
MARROW,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
NON,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
ENZYMES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],51,1.3770061018363946
PROPORTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],23,1.722848441916738
AGREEMENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
VIEW,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],22,1.7421535971121247
AFFECTS,[0. 0. 0. ... 0. 1. 0.],[0.         0.         0.         ... 0.         0.00724638 0.        ],[0 0 0 ... 0 1 0],11,2.043183592776106
EVERY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],19,1.805822676981502
WHITE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],24,1.704365036222725
REGARDED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
EXCEPTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
MELLITUS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
QUITE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
EXCEEDINGLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SO,[0. 0. 0. ... 0. 1. 0.],[0.         0.         0.         ... 0.         0.00724638 0.        ],[0 0 0 ... 0 1 0],45,1.4313637641589874
ORIENTAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
EXTRACTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
GENETICALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
TRAIT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
OBLIGATE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],43,1.4511078223547444
HETEROZYGOTE,[0. 0. 0. ... 0. 1. 0.],[0.         0.         0.         ... 0.         0.00724638 0.        ],[0 0 0 ... 0 1 0],50,1.3856062735983121
PARENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
ASYMPTOMATIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
MANIFESTATIONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],37,1.516374553867336
HIMSELF,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
AVAILABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],30,1.6074550232146685
PHENYLKETONURIA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
REFUTE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SUGGESTIVE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
ARISE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
SIBLING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
DESCRIBES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
INVESTIGATIONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],23,1.722848441916738
ANISYLALANINE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HARTNUP,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
METABOLISED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ACETYL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
LACTIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ACIDS,[0. 0. 0. ... 0. 0. 1.],[0.         0.         0.         ... 0.         0.         0.00900901],[0 0 0 ... 0 0 1],34,1.553097360892076
EXCRETED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
WEIGHT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],75,1.209515014542631
ABSORBED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
HOUR,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
DECLINED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
EXPONENTIALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DELAYED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
CORD,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
AMNIOTIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],16,1.8804562952784063
PIZZ,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HOMOZYGOTE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],15,1.9084850188786497
ESTABLISHED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],24,1.704365036222725
DELIVERY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
INHIBITORY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],14,1.938448242256093
TIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
EXCLUSIVELY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PHENOTYPIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
ALLELES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
ZZ,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
EXCLUDES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
TRANSFER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
SUBSTANTIALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
DERIVE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PROPORTIONALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FREE,[0. 0. 0. ... 0. 3. 0.],[0.         0.         0.         ... 0.         0.02173913 0.        ],[0 0 0 ... 0 1 0],21,1.7623569832004118
TRYPTIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
DIMINISHED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],16,1.8804562952784063
REFERRED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
FRESH,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
MECONIA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
BM,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
ESTIMATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
USEFUL,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],48,1.4033350405587437
APPROACH,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],28,1.6374182465921119
EXACT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
PHENOTYPING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PURPOSE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],24,1.704365036222725
COMMUNICATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
HOW,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],17,1.854127356556057
APPLICATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
METHODOLOGY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
INSIGHT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
UNDERSTANDING,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],27,1.6532125137753437
REASONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],22,1.7421535971121247
DISPARATE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
PHENOTYPES,[0. 0. 0. ... 0. 1. 0.],[0.         0.         0.         ... 0.         0.00724638 0.        ],[0 0 0 ... 0 1 0],11,2.043183592776106
MUTANT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
GENOTYPE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
RECOGNIZABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
UNDERSTANDABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
VIVO,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],15,1.9084850188786497
MORPHOLOGICAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
SYNDROMES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
ILLUSTRATIONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PRINCIPLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
SELECTED,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],19,1.805822676981502
ADDS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ADVANCING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
DIAGNOSE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
ADMISSIONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
REPUBLIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
IRELAND,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SCOTLAND,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ENGLAND,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
YET,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],41,1.4717924212145954
RETURNS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
TIMES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],29,1.6221782800353748
ADMISSION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
TWICE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
ENGLISH,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CONTRASTED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SLIGHTLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],19,1.805822676981502
GENUINELY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COMMUNITY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
EAST,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
POTATO,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
WHEATEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
BREAD,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
STAPLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FAMINE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TOO,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
EATEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DISADVANTAGEOUS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CYTOPLASMIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
PHENOMENON,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],20,1.7835462822703498
TOLUIDINE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
BLUE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
RECORDED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
AVERAGE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],36,1.5282737771670438
AMETACHROMATIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
HETEROGENEITY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],17,1.854127356556057
DECIDUOUS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TEETH,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
TETRACYCLINE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
SECTIONED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
VERTICALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HORIZONTALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
REPRESENTATIVE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
PHOTOGRAPHED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
VISIBLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
ULTRAVIOLET,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
ILLUMINATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
